Hat,Eyes,Background,Fur,Clothes,Mouth,Earring
Commie Hat:304,Crazy:407,Army Green:1243,Blue:490,Puffy Vest:227,Phoneme L:241,Silver Hoop:882
Bayc Flipped Brim:231,Bloodshot:846,Orange:1273,Black:1229,Work Vest:188,Bored Pipe:132,Gold Stud:439
Fisherman's Hat:345,Sleepy:751,Gray:1170,White:397,Prom Dress:103,Bored:2272,Cross:149
Girl's Hair Pink:105,Sad:551,New Punk Blue:1232,Gray:496,Service:142,Dumbfounded:505,Gold Hoop:462
Fez:377,Zombie:308,Aquamarine:1266,Dark Brown:1352,Black T:334,Tongue Out:202,Silver Stud:823
Spinner Hat:181,Bored:1714,Purple:1291,Cheetah:406,Leather Jacket:206,Bored Cigarette:710,Diamond Stud:222
Short Mohawk:318,Cyborg:108,Blue:1242,Robot:265,Biker Vest:253,Discomfort:208,nan
Girl's Hair Short:150,X Eyes:243,Yellow:1283,Pink:511,Bone Necklace:203,Phoneme  ooo:255,nan
Safari:182,Angry:432,nan,Solid Gold:46,Vietnam Jacket:224,Jovial:296,nan
Bayc Hat Black:228,Wide Eyed:549,nan,Tan:626,Striped Tee:412,Small Grin:272,nan
S&m Hat:235,Scumbag:233,nan,Dmt:215,Black Holes T:205,Bored Unshaven Cigarette:438,nan
Cowboy Hat:354,Coins:479,nan,Noise:155,Stunt Jacket:178,Bored Cigar:121,nan
Bowler:262,3d:487,nan,Brown:1370,Bone Tee:230,Grin:713,nan
Police Motorcycle Helmet:130,Blue Beams:49,nan,Zombie:302,Lumberjack Shirt:213,Bored Unshaven:1551,nan
Sea Captain's Hat:304,Closed:710,nan,Golden Brown:778,Rainbow Suspenders:135,Bored Unshaven Pipe:101,nan
Sushi Chef Headband:187,Hypnotized:220,nan,Cream:636,Bayc T Black:215,Bored Bubblegum:119,nan
Seaman's Hat:420,Sunglasses:352,nan,Red:474,Guayabera:232,Rage:266,nan
Stuntman Helmet:157,Eyepatch:333,nan,Death Bot:175,Navy Striped Tee:334,Bored Unshaven Cigar:94,nan
Army Hat:294,Heart:394,nan,Trippy:77,Sailor Shirt:284,Bored Unshaven Bubblegum:65,nan
Halo:324,Blindfold:264,nan,nan,Prison Jumpsuit:235,Bored Party Horn:88,nan
Party Hat 2:107,Laser Eyes:69,nan,nan,Cowboy Shirt:119,Phoneme Vuh:333,nan
Horns:252,Holographic:151,nan,nan,Smoking Jacket:221,Phoneme Wah:163,nan
Party Hat 1:120,Robot:350,nan,nan,Hip Hop:128,Phoneme Oh:237,nan
Beanie:578,nan,nan,nan,Bayc T Red:140,Grin Gold Grill:91,nan
Bunny Ears:195,nan,nan,nan,Bandolier:163,Grin Multicolored:116,nan
Trippy Captain's Hat:65,nan,nan,nan,Sleeveless T:252,Grin Diamond Grill:78,nan
Bandana Blue:89,nan,nan,nan,Tweed Suit:141,Bored Pizza:50,nan
Irish Boho:225,nan,nan,nan,Sleeveless Logo T:144,Bored Unshaven Dagger:28,nan
Baby's Bonnet:158,nan,nan,nan,Caveman Pelt:163,Bored Kazoo:74,nan
Ww2 Pilot Helm:110,nan,nan,nan,Wool Turtleneck:240,Bored Dagger:49,nan
Vietnam Era Helmet:223,nan,nan,nan,Blue Dress:95,Bored Unshaven Kazoo:61,nan
Prussian Helmet:130,nan,nan,nan,Tie Dye:144,Bored Unshaven Party horn:45,nan
Bayc Hat Red:119,nan,nan,nan,Kings Robe:68,Bored Unshaven Pizza:26,nan
Laurel Wreath:72,nan,nan,nan,Tuxedo Tee:235,nan,nan
Faux Hawk:136,nan,nan,nan,Leather Punk Jacket:153,nan,nan
King's Crown:77,nan,nan,nan,Toga:202,nan,nan
nan,nan,nan,nan,Lab Coat:144,nan,nan
nan,nan,nan,nan,Tanktop:235,nan,nan
nan,nan,nan,nan,Pimp Coat:80,nan,nan
nan,nan,nan,nan,Hawaiian:283,nan,nan
nan,nan,nan,nan,Space Suit:105,nan,nan
nan,nan,nan,nan,Admirals Coat:64,nan,nan
nan,nan,nan,nan,Black Suit:42,nan,nan
